2026-03-14 15:58:40 | INFO     | stt_engine.py:24 | 음성 인식 분석 시작: temp_command.wav
2026-03-14 15:58:42 | INFO     | stt_engine.py:29 | STT 인식 결과: 유튜브 켜줘
2026-03-14 15:58:42 | INFO     | intent_analyzer.py:80 | 의도 추론 결과: '유튜브 켜줘' -> youtube_play (Score: 0.92)
2026-03-14 15:58:42 | INFO     | action_dispatcher.py:28 | 액션 매핑 성공 및 실행: execute_youtube_search
2026-03-14 15:58:42 | INFO     | app_controller.py:19 | 유튜브 브라우저 실행
2026-03-14 15:58:50 | INFO     | tts_engine.py:26 | TTS 출력: 명령을 수행했습니다.
2026-03-14 15:58:50 | INFO     | main.py:71 | 명령 처리 완료. 다시 호출어 대기 모드로 돌아갑니다.
2026-03-14 15:58:51 | INFO     | wake_word.py:45 | 호출어('독종아') 대기 중...
2026-03-14 16:04:11 | INFO     | main.py:22 | === 프로젝트 '독종' 시스템 초기화 시작 ===
2026-03-14 16:04:11 | INFO     | tts_engine.py:20 | TTS 엔진 초기화 성공
2026-03-14 16:04:12 | INFO     | stt_engine.py:12 | Whisper 모델(base) 로드 중... (초기 1회 시간 소요)
2026-03-14 16:04:13 | INFO     | stt_engine.py:15 | Whisper 모델 로드 완료
2026-03-14 16:04:13 | INFO     | intent_analyzer.py:12 | S-BERT 모델(snunlp/KR-SBERT-V40K-klueNLI-augSTS) 로드 중...
2026-03-14 16:04:17 | INFO     | intent_analyzer.py:15 | S-BERT 모델 로드 완료
2026-03-14 16:04:18 | INFO     | wake_word.py:33 | 호출어 감지 모듈 초기화 완료
2026-03-14 16:04:18 | INFO     | tts_engine.py:26 | TTS 출력: 독종 시스템이 준비되었습니다.
2026-03-14 16:04:21 | INFO     | main.py:37 | === 시스템 초기화 완료. 호출어 대기 모드 진입 ===
2026-03-14 16:04:21 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:04:29 | INFO     | wake_word.py:53 | 호출어 감지됨!
2026-03-14 16:04:29 | INFO     | tts_engine.py:26 | TTS 출력: 네, 말씀하세요.
2026-03-14 16:04:29 | INFO     | vad_recorder.py:25 | 발화 대기 및 녹음 시작...
2026-03-14 16:04:34 | INFO     | vad_recorder.py:46 | 묵음 감지됨. 녹음 종료.
2026-03-14 16:04:34 | INFO     | vad_recorder.py:66 | 임시 오디오 저장 완료: temp_command.wav
2026-03-14 16:04:34 | INFO     | stt_engine.py:24 | 음성 인식 분석 시작: temp_command.wav
2026-03-14 16:04:35 | INFO     | stt_engine.py:29 | STT 인식 결과: 유튜브 브라우즈에서 켜줘
2026-03-14 16:04:36 | INFO     | intent_analyzer.py:80 | 의도 추론 결과: '유튜브 브라우즈에서 켜줘' -> youtube_play (Score: 0.75)
2026-03-14 16:04:36 | WARNING  | intent_analyzer.py:90 | 유효 임계치(0.8) 도달 실패. 일치하는 명령어를 찾지 못했습니다.
2026-03-14 16:04:36 | INFO     | tts_engine.py:26 | TTS 출력: 무슨 말씀인지 잘 이해하지 못했어요.
2026-03-14 16:04:36 | INFO     | main.py:71 | 명령 처리 완료. 다시 호출어 대기 모드로 돌아갑니다.
2026-03-14 16:04:37 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:04:40 | INFO     | wake_word.py:53 | 호출어 감지됨!
2026-03-14 16:04:40 | INFO     | tts_engine.py:26 | TTS 출력: 네, 말씀하세요.
2026-03-14 16:04:41 | INFO     | vad_recorder.py:25 | 발화 대기 및 녹음 시작...
2026-03-14 16:04:45 | INFO     | vad_recorder.py:46 | 묵음 감지됨. 녹음 종료.
2026-03-14 16:04:45 | INFO     | vad_recorder.py:66 | 임시 오디오 저장 완료: temp_command.wav
2026-03-14 16:04:45 | INFO     | stt_engine.py:24 | 음성 인식 분석 시작: temp_command.wav
2026-03-14 16:04:46 | INFO     | stt_engine.py:29 | STT 인식 결과: 유튜브 브라우자에서 켜줘
2026-03-14 16:04:46 | INFO     | intent_analyzer.py:80 | 의도 추론 결과: '유튜브 브라우자에서 켜줘' -> youtube_play (Score: 0.74)
2026-03-14 16:04:46 | WARNING  | intent_analyzer.py:90 | 유효 임계치(0.8) 도달 실패. 일치하는 명령어를 찾지 못했습니다.
